gene	species	cys_position	oxidation_type	accession	observed_residue	status	source	source_note
AT2G21960	arabidopsis	324	s-nitrosylation	Q7EXE6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22125	arabidopsis	719	s-nitrosylation	F4IIM1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22170	arabidopsis	133	s-nitrosylation	Q9SIE7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22400	arabidopsis	677	s-nitrosylation	F4IJH8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22450	arabidopsis	362	s-nitrosylation	Q6NLQ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22480	arabidopsis	405	s-nitrosylation	Q8VYN6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22500	arabidopsis	266	s-nitrosylation	Q9SJY5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22570	arabidopsis	197	s-nitrosylation	Q8S8F9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G22780	arabidopsis	234	s-nitrosylation	O82399	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23070	arabidopsis	182	s-nitrosylation	O64816	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23140	arabidopsis	300	s-nitrosylation	F4ILG6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23200	arabidopsis	590	s-nitrosylation	O22187	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23350	arabidopsis	266	s-nitrosylation	O22173	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23370	arabidopsis	141	s-nitrosylation	F4ILJ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23420	arabidopsis	195	s-nitrosylation	A0A1P8AXW4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23600	arabidopsis	74	s-nitrosylation	A0A1P8AXQ5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23610	arabidopsis	59	s-nitrosylation	A0A1P8B0R3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23810	arabidopsis	138	s-nitrosylation	Q8S8Q6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G23820	arabidopsis	154	s-nitrosylation	F4IMN1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G24020	arabidopsis	109	s-nitrosylation	O82230	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G24050	arabidopsis	81	s-nitrosylation	O82233	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G24200	arabidopsis	246	s-nitrosylation	P30184	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G24270	arabidopsis	50	s-nitrosylation	B9DHD2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G24820	arabidopsis	148	s-nitrosylation	Q9SK50	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25080	arabidopsis	111	s-nitrosylation	P52032	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25110	arabidopsis	192	s-nitrosylation	Q93ZE8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25280	arabidopsis	86	s-nitrosylation	Q9SIR5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25290	arabidopsis	135	s-nitrosylation	F4IRM4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25355	arabidopsis	178	s-nitrosylation	F4IRN7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25430	arabidopsis	68	s-nitrosylation	Q8LF20	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25450	arabidopsis	151	s-nitrosylation	Q9SKK4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25800	arabidopsis	278	s-nitrosylation	F4ISP0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G25840	arabidopsis	319	s-nitrosylation	F4ISP4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26060	arabidopsis	110	s-nitrosylation	O80990	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26080	arabidopsis	103	s-nitrosylation	O80988	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26140	arabidopsis	541	s-nitrosylation	O80983	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26210	arabidopsis	174	s-nitrosylation	A0A1P8AXK0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26300	arabidopsis	163	s-nitrosylation	P18064	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26560	arabidopsis	99	s-nitrosylation	O48723	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26570	arabidopsis	485	s-nitrosylation	O48724	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26730	arabidopsis	490	s-nitrosylation	C0LGL2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26740	arabidopsis	156	s-nitrosylation	F4IVJ3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26780	arabidopsis	1143	s-nitrosylation	A0A1P8AX98	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26830	arabidopsis	47	s-nitrosylation	O81024	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26890	arabidopsis	199	s-nitrosylation	F4IVL6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26900	arabidopsis	351	s-nitrosylation	Q1EBV7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G26930	arabidopsis	79	s-nitrosylation	O81014	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27020	arabidopsis	144	s-nitrosylation	A0A1P8AX55	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27030	arabidopsis	27	s-nitrosylation	F4IVN6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27040	arabidopsis	342	s-nitrosylation	Q9ZVD5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27150	arabidopsis	150	s-nitrosylation	A0A1P8AZL6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27190	arabidopsis	94	s-nitrosylation	Q38924	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27210	arabidopsis	156	s-nitrosylation	F4IFQ0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27510	arabidopsis	98	s-nitrosylation	Q9ZQG8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27530	arabidopsis	65	s-nitrosylation	P59230	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27600	arabidopsis	237	s-nitrosylation	Q9ZNT0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27680	arabidopsis	237	s-nitrosylation	Q9ZUX0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27820	arabidopsis	229	s-nitrosylation	Q9ZUY3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G27860	arabidopsis	140	s-nitrosylation	Q9ZUY6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G28000	arabidopsis	71	s-nitrosylation	P21238	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G28080	arabidopsis	232	s-nitrosylation	Q9ZUV0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G28190	arabidopsis	208	s-nitrosylation	O78310	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G28470	arabidopsis	347	s-nitrosylation	A0A1P8AZB4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G28790	arabidopsis	192	s-nitrosylation	A0A1P8B068	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29080	arabidopsis	327	s-nitrosylation	Q84WU8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29140	arabidopsis	795	s-nitrosylation	Q9ZW02	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29190	arabidopsis	872	s-nitrosylation	Q9ZW06	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29200	arabidopsis	868	s-nitrosylation	Q9ZW07	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29290	arabidopsis	65	s-nitrosylation	Q9ZW13	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29320	arabidopsis	45	s-nitrosylation	A0A1P8AYI3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29340	arabidopsis	39	s-nitrosylation	F4IKM1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29350	arabidopsis	73	s-nitrosylation	Q9ZW18	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29360	arabidopsis	74	s-nitrosylation	Q9ZW19	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29400	arabidopsis	75	s-nitrosylation	P30366	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29550	arabidopsis	12	s-nitrosylation	P29515	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29560	arabidopsis	173	s-nitrosylation	Q9ZW34	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29570	arabidopsis	81	s-nitrosylation	Q9ZW35	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29630	arabidopsis	91	s-nitrosylation	O82392	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29650	arabidopsis	303	s-nitrosylation	A0A1P8B2Z7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29700	arabidopsis	80	s-nitrosylation	Q9ST43	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29960	arabidopsis	68	s-nitrosylation	Q8LDP4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G29990	arabidopsis	161	s-nitrosylation	O80874	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30050	arabidopsis	33	s-nitrosylation	O64740	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30060	arabidopsis	100	s-nitrosylation	Q8RWG8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30110	arabidopsis	202	s-nitrosylation	P93028	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30140	arabidopsis	202	s-nitrosylation	O64733	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30170	arabidopsis	156	s-nitrosylation	A0A1P8AY09	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30200	arabidopsis	133	s-nitrosylation	F4IMQ9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30490	arabidopsis	277	s-nitrosylation	P92994	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30710	arabidopsis	208	s-nitrosylation	O49336	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30720	arabidopsis	314	s-nitrosylation	F4INX4	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30880	arabidopsis	263	s-nitrosylation	F4IPT1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30950	arabidopsis	325	s-nitrosylation	A0A1P8AXC1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G30970	arabidopsis	79	s-nitrosylation	P46643	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31060	arabidopsis	509	s-nitrosylation	F4IPW5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31140	arabidopsis	41	s-nitrosylation	Q84VZ6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31170	arabidopsis	156	s-nitrosylation	F4IPY2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31350	arabidopsis	237	s-nitrosylation	A0A1P8AZ54	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31370	arabidopsis	23	s-nitrosylation	B9DGB1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31390	arabidopsis	149	s-nitrosylation	Q9SID0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31570	arabidopsis	41	s-nitrosylation	O04922	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31610	arabidopsis	97	s-nitrosylation	Q9SIP7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31660	arabidopsis	535	s-nitrosylation	F4IRR2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31670	arabidopsis	134	s-nitrosylation	Q9SIP1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31750	arabidopsis	323	s-nitrosylation	A0A1P8B2S3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31790	arabidopsis	204	s-nitrosylation	Q9SKC1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31810	arabidopsis	461	s-nitrosylation	Q93YZ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G31880	arabidopsis	358	s-nitrosylation	Q9SKB2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32060	arabidopsis	63	s-nitrosylation	Q9SKZ3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32090	arabidopsis	86	s-nitrosylation	Q7ET23	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32240	arabidopsis	419	s-nitrosylation	F4ISU2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32450	arabidopsis	272	s-nitrosylation	Q8S8L9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32540	arabidopsis	12	s-nitrosylation	O80891	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32730	arabidopsis	161	s-nitrosylation	O48844	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32810	arabidopsis	353	s-nitrosylation	F4IUQ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G32920	arabidopsis	220	s-nitrosylation	O48773	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33040	arabidopsis	117	s-nitrosylation	Q0WWB3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33120	arabidopsis	35	s-nitrosylation	B9DH97	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33150	arabidopsis	138	s-nitrosylation	Q56WD9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33210	arabidopsis	122	s-nitrosylation	F4IVR2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33255	arabidopsis	117	s-nitrosylation	Q8RYE9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33340	arabidopsis	3	s-nitrosylation	F4IVT2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33380	arabidopsis	216	s-nitrosylation	O22788	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33450	arabidopsis	70	s-nitrosylation	O22795	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33470	arabidopsis	32	s-nitrosylation	O22797	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33540	arabidopsis	1154	s-nitrosylation	Q8LL04	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33800	arabidopsis	186	s-nitrosylation	C0Z229	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G33840	arabidopsis	71	s-nitrosylation	Q8S9J2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G34040	arabidopsis	77	s-nitrosylation	F4IGU7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT2G34310	arabidopsis	121	s-nitrosylation	O80780	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
